192.168.33.1 - - [11/Jun/2017:14:22:11 +0000] "GET /register HTTP/1.1" 404 2270 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
127.0.0.1 - - [11/Jun/2017:14:48:31 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
192.168.33.1 - - [11/Jun/2017:14:49:38 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
192.168.33.1 - - [11/Jun/2017:14:49:38 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
192.168.33.1 - - [11/Jun/2017:14:49:38 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:32:10 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:32:10 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:32:33 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:32:34 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:33:02 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:33:28 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:33:28 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:33:28 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:34:27 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:34:27 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:34:27 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
192.168.33.1 - - [11/Jun/2017:16:37:01 +0000] "GET / HTTP/1.1" 200 2521 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
192.168.33.1 - - [11/Jun/2017:16:37:01 +0000] "GET /icons/blank.gif HTTP/1.1" 200 488 "https://masadb.dev/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
192.168.33.1 - - [11/Jun/2017:16:37:01 +0000] "GET /icons/folder.gif HTTP/1.1" 200 703 "https://masadb.dev/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
192.168.33.1 - - [11/Jun/2017:16:37:01 +0000] "GET /favicon.ico HTTP/1.1" 404 558 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
192.168.33.1 - - [11/Jun/2017:16:37:01 +0000] "GET /favicon.ico HTTP/1.1" 404 558 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
192.168.33.1 - - [11/Jun/2017:16:37:04 +0000] "GET / HTTP/1.1" 200 819 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
192.168.33.1 - - [11/Jun/2017:16:37:39 +0000] "GET / HTTP/1.1" 200 957 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
192.168.33.1 - - [11/Jun/2017:16:37:39 +0000] "GET /icons/blank.gif HTTP/1.1" 304 207 "https://masadb.dev/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
192.168.33.1 - - [11/Jun/2017:16:37:39 +0000] "GET /icons/folder.gif HTTP/1.1" 304 207 "https://masadb.dev/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
192.168.33.1 - - [11/Jun/2017:16:37:44 +0000] "GET / HTTP/1.1" 200 1981 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
192.168.33.1 - - [11/Jun/2017:16:37:50 +0000] "POST /access_token HTTP/1.1" 200 1246 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
127.0.0.1 - - [11/Jun/2017:16:37:56 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:37:56 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:37:56 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:37:58 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:37:58 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:37:58 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:38:42 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:38:42 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:39:04 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:39:04 +0000] "GET / HTTP/1.0" 400 0 "-" "-"
127.0.0.1 - - [11/Jun/2017:16:40:01 +0000] "POST //access_token HTTP/1.1" 200 2564 "-" "Httpful/0.2.19 (cURL/7.35.0 PHP/7.1.5-1+deb.sury.org~trusty+2 (Linux) Apache/2.4.7 (Ubuntu) Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0)"
127.0.0.1 - - [11/Jun/2017:16:40:01 +0000] "POST //access_token HTTP/1.1" 200 2564 "-" "Httpful/0.2.19 (cURL/7.35.0 PHP/7.1.5-1+deb.sury.org~trusty+2 (Linux) Apache/2.4.7 (Ubuntu) Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0)"
127.0.0.1 - - [11/Jun/2017:16:40:08 +0000] "POST //access_token HTTP/1.1" 200 2564 "-" "Httpful/0.2.19 (cURL/7.35.0 PHP/7.1.5-1+deb.sury.org~trusty+2 (Linux) Apache/2.4.7 (Ubuntu) Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0)"
127.0.0.1 - - [11/Jun/2017:16:40:08 +0000] "POST //access_token HTTP/1.1" 200 2564 "-" "Httpful/0.2.19 (cURL/7.35.0 PHP/7.1.5-1+deb.sury.org~trusty+2 (Linux) Apache/2.4.7 (Ubuntu) Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0)"
127.0.0.1 - - [11/Jun/2017:16:40:08 +0000] "POST /users HTTP/1.1" 200 1748 "-" "Httpful/0.2.19 (cURL/7.35.0 PHP/7.1.5-1+deb.sury.org~trusty+2 (Linux) Apache/2.4.7 (Ubuntu) Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0)"
127.0.0.1 - - [11/Jun/2017:16:59:40 +0000] "POST //access_token HTTP/1.1" 200 2564 "-" "Httpful/0.2.19 (cURL/7.35.0 PHP/7.1.5-1+deb.sury.org~trusty+2 (Linux) Apache/2.4.7 (Ubuntu) GuzzleHttp/6.2.1 curl/7.35.0 PHP/7.1.5-1+deb.sury.org~trusty+2)"
127.0.0.1 - - [11/Jun/2017:16:59:40 +0000] "POST //access_token HTTP/1.1" 200 2564 "-" "Httpful/0.2.19 (cURL/7.35.0 PHP/7.1.5-1+deb.sury.org~trusty+2 (Linux) Apache/2.4.7 (Ubuntu) GuzzleHttp/6.2.1 curl/7.35.0 PHP/7.1.5-1+deb.sury.org~trusty+2)"
127.0.0.1 - - [11/Jun/2017:16:59:40 +0000] "POST /users HTTP/1.1" 200 1748 "-" "Httpful/0.2.19 (cURL/7.35.0 PHP/7.1.5-1+deb.sury.org~trusty+2 (Linux) Apache/2.4.7 (Ubuntu) GuzzleHttp/6.2.1 curl/7.35.0 PHP/7.1.5-1+deb.sury.org~trusty+2)"
127.0.0.1 - - [11/Jun/2017:16:59:40 +0000] "POST //access_token HTTP/1.1" 200 2564 "-" "Httpful/0.2.19 (cURL/7.35.0 PHP/7.1.5-1+deb.sury.org~trusty+2 (Linux) Apache/2.4.7 (Ubuntu) GuzzleHttp/6.2.1 curl/7.35.0 PHP/7.1.5-1+deb.sury.org~trusty+2)"
127.0.0.1 - - [11/Jun/2017:16:59:40 +0000] "POST //access_token HTTP/1.1" 200 2564 "-" "Httpful/0.2.19 (cURL/7.35.0 PHP/7.1.5-1+deb.sury.org~trusty+2 (Linux) Apache/2.4.7 (Ubuntu) GuzzleHttp/6.2.1 curl/7.35.0 PHP/7.1.5-1+deb.sury.org~trusty+2)"
127.0.0.1 - - [11/Jun/2017:16:59:41 +0000] "POST /users HTTP/1.1" 200 1748 "-" "Httpful/0.2.19 (cURL/7.35.0 PHP/7.1.5-1+deb.sury.org~trusty+2 (Linux) Apache/2.4.7 (Ubuntu) GuzzleHttp/6.2.1 curl/7.35.0 PHP/7.1.5-1+deb.sury.org~trusty+2)"
192.168.33.1 - - [11/Jun/2017:17:00:40 +0000] "POST /access_token HTTP/1.1" 200 2810 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0"
